[2026-01-29 19:30:14,262] ERROR: Gagal download TRIM.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/TRIM.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257812&period2=1769689812
[2026-01-29 19:30:14,264] INFO: [TRIM] Gagal mengambil data.
[2026-01-29 19:30:14,552] INFO: [TRUS] Selesai. +4 data baru.
[2026-01-29 19:30:15,074] INFO: [VICO] Selesai. +4 data baru.
[2026-01-29 19:30:15,630] ERROR: Gagal download WOMF.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/WOMF.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257814&period2=1769689814
[2026-01-29 19:30:15,631] INFO: [WOMF] Gagal mengambil data.
[2026-01-29 19:30:15,673] ERROR: Gagal download VRNA.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/VRNA.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257814&period2=1769689814
[2026-01-29 19:30:15,675] INFO: [VRNA] Gagal mengambil data.
[2026-01-29 19:30:15,862] ERROR: Gagal download YULE.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/YULE.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257814&period2=1769689814
[2026-01-29 19:30:15,864] INFO: [YULE] Gagal mengambil data.
[2026-01-29 19:30:15,885] ERROR: Gagal download VINS.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/VINS.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257813&period2=1769689813
[2026-01-29 19:30:15,887] INFO: [VINS] Gagal mengambil data.
[2026-01-29 19:30:16,432] ERROR: Gagal download CASA.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/CASA.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257815&period2=1769689815
[2026-01-29 19:30:16,434] INFO: [CASA] Gagal mengambil data.
[2026-01-29 19:30:16,961] ERROR: Gagal download BRIS.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/BRIS.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257815&period2=1769689815
[2026-01-29 19:30:16,964] INFO: [BRIS] Gagal mengambil data.
[2026-01-29 19:30:17,115] INFO: [MTWI] Selesai. +4 data baru.
[2026-01-29 19:30:17,678] ERROR: Gagal download NICK.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/NICK.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257815&period2=1769689815
[2026-01-29 19:30:17,680] INFO: [NICK] Gagal mengambil data.
[2026-01-29 19:30:17,711] ERROR: Gagal download BTPS.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/BTPS.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257816&period2=1769689816
[2026-01-29 19:30:17,714] INFO: [BTPS] Gagal mengambil data.
[2026-01-29 19:30:17,782] ERROR: Gagal download JMAS.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/JMAS.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257815&period2=1769689815
